"","Raw","scInt","Seurat","Harmony","RPCI","online iNMF","LIGER","Scanorama","fastMNN","MNN","Conos","scMC"
"ARI",0.294958010697894,1,0.996520754738544,0.998702720546996,0.996641483347165,0.962178792682862,0.910207089802391,1,1,1,0.750776433477672,1
"batch.ASW",0.0943805753251087,0.927194145756886,0.846406250699391,0.932001889903446,0.817829460871288,0.927635193041482,0.867318670298174,0.918930977177034,0.851339608081142,0.748627910630204,0.68698370363093,0.826866237494835
"cell.type.LISI",0.999999997010307,0.999999996779536,0.9985514967313,0.999645213164816,0.999353975205828,0.989549356285372,0.989525080886192,0.999999996717085,0.999999996797459,0.999999996821247,0.994070373608049,0.999999996704796
"batch.LISI",0.189610826309461,0.719597399352746,0.671318596280938,0.721937907906869,0.539390561361989,0.726034336538289,0.725051802994082,0.709166605269991,0.655964146380072,0.461900503906832,0.340659138106719,0.62923553387724
