"","Raw","scInt","Seurat","Harmony","RPCI","online iNMF","LIGER","Scanorama","fastMNN","MNN","Conos","scMC"
"ARI",0.246898016854458,1,0.297445719747986,0.113417943323488,0.697803720042043,0.0842487715665351,0.0428154710524214,0.349438221315354,0.8321367349601,0.87171786673519,0.225074653703905,0.755455134528475
"batch.ASW",0.565954851682472,0.864201082044435,0.742235090828578,0.614662246194961,0.843889699883699,0.709338512358061,0.762818364763856,0.38563732811211,0.650498102006211,0.63724174086342,0.76044653573568,0.634394703386411
"cell.type.LISI",0.999985717673188,0.999999997660357,0.855269804668931,0.95574688815173,0.992459813636734,0.818339723978688,0.733696967491332,0.99999999745717,0.999999703917646,0.999999997423059,0.954578628370054,0.993557303074275
"batch.LISI",0.147579583282539,0.68662712415308,0.607957103926954,0.293117420110164,0.506434310777305,0.604707372163066,0.622712424252483,0.173324650739133,0.186486622474295,0.211392144009476,0.361318586802465,0.313081690600612
