"","Raw","scInt","Seurat","Harmony","RPCI","online iNMF","LIGER","Scanorama","fastMNN","MNN","Conos","scMC"
"ARI",0.751743786811648,0.946124864672912,0.744323791328297,0.724895893858078,0.711980289366022,0.590895156935451,0.549152243936536,0.753159947322278,0.74885497724757,0.736273147819511,0.587168474205569,0.919728409050187
"batch.ASW",0.742307324680959,0.775834590301513,0.824075672322347,0.850396004548889,0.799923368628797,0.778962592880708,0.774205199937809,0.790476037061788,0.766253656325005,0.748921298881735,0.755677247845053,0.736667653587069
"cell.type.LISI",0.95612012106897,0.96921104645103,0.792345654227723,0.894166803688874,0.902452048597047,0.699102709744439,0.744713870605342,0.936370121564589,0.930158778501074,0.876862959499687,0.855587741806901,0.966323752119367
"batch.LISI",0.542893369933188,0.618152745028951,0.718460203790596,0.669225164695965,0.63380941366461,0.728506626610757,0.742498198397325,0.603028868623692,0.650063515940054,0.677080194613791,0.689330633452758,0.604229546625653
