"","Raw","scInt","Seurat","Harmony","RPCI","online iNMF","LIGER","Scanorama","fastMNN","MNN","Conos","scMC"
"ARI",0.518600054507588,1,0.996128971658934,0.660946028755815,0.983060083896022,0.975931774697836,0.640509915478687,1,0.997896160477427,1,0.993614395808053,0.997896160477427
"batch.ASW",0.0720770346262088,0.950618286447489,0.805003669279496,0.670047502015584,0.835072470066089,0.863215198589171,0.662028558097124,0.946783698915951,0.929835277921204,0.856889284396065,0.839578740176276,0.693251671913026
"cell.type.LISI",0.999999992920853,0.999978321838844,0.990845507923511,0.999999993576946,0.976452209633825,0.985458112427651,0.85175948426464,0.999999992782607,0.993536324167828,0.99999999239687,0.915042901123255,0.990161776938008
"batch.LISI",0.433655246154015,0.865518746847051,0.724760622317841,0.593472695039614,0.777574861498623,0.680440137499073,0.643925471645599,0.862917178801947,0.864508161247983,0.771700301049741,0.728050529464674,0.613518377401978
