"","Raw","scInt","Seurat","Harmony","RPCI","online iNMF","LIGER","Scanorama","fastMNN","MNN","Conos","scMC"
"ARI",0.800779587146032,0.808085170568874,0.729164266799528,0.776154819880948,0.809583446242963,0.788509684756529,0.618910660885825,0.765027745347555,0.757527712638528,0.697473883218291,0.707377290307133,0.814162443667549
"batch.ASW",0.385332469304558,0.939119357452607,0.83650571785923,0.935674784579739,0.893001305114164,0.954026892505652,0.755292687397741,0.879211123887179,0.926838931295985,0.890267944979996,0.952479793351188,0.860961755863173
"cell.type.LISI",0.890563989165311,0.896204923324655,0.760776960227808,0.764164821562887,0.863743969638092,0.863109435709259,0.552596846080625,0.739977876074205,0.859751811350755,0.783937997107288,0.787489310193634,0.88084114779427
"batch.LISI",0.672058825595398,0.873830567480822,0.676222509372379,0.779876264183283,0.861078730780376,0.878217309322155,0.704862083712163,0.731916862328156,0.841101601369948,0.783962070759949,0.814571356908552,0.84696281497888
